index,event_time,event_id,transaction_amount,transaction_amount_in_rub,client_balance,transaction_amount_currency,event_channel,sub_channel,event_type,sub_type,type_operation,event_description,tree_info,policy_action,main_rule,epk_id,user_id,fio,segment,age,age_category,phone,phone_operator,region_phone_operator,dul_number,dul_type,payer_inn,card_number,transaction_sender_account_number,p2p_sender_account_number,payer_account_number,payer_card_number,mobile_phone_number,payer_transfer_type,payee_transfer_type,transaction_beneficiar_account_number,recipient_bik,payee_bank_name,member_id,sbp_id,operation_id,recipient_info,card_info,trust_info,recipient_inn,atm_merchant_name,merchant_info,pos_info,link_cf,mobile_sdk_info,scoring_oss,type_accept,source_type_accept,resolution_first,resolution_first_dttm,resolution_last,resolution_last_dttm,accept_time_sec,purpose,surface,product,product_type,payment_transaction_flag,has_claim,is_save,marked_as_not_save_reason,posterious_events,previous_events,hits_extra_facts,posterious_events_additional_info,previous_events_additional_info,own_loading_id,own_dt,event_dt
0,2026-01-24 08:00:00,ae107b8e-4788-4073-9bb4-4f209a6e02aa,118410.20,118410.20,160881.43,RUB,CARDS,ISSUER,PURCHASE,PURCHASE,CARD_PURCHASE,Оплата обучения,,deny,"{""rule_name"":""DENY новый образовательный получатель и высокий риск устройства"",""rule_id"":""ede3e061-8edf-4a73-a279-156ff86bb31e"",""rule_category"":""New Payee"",""description"":""Синтетическая сработка по операции: Оплата обучения""}",2099007770421986000001,7770421986,Кузнецов Андрей Сергеевич,МВС,42,40-45 лет,+7 916 742-18-65,МТС,77,4519884216,21,772845913248,5599004387129866,40817810400077421865,40817810400077421865,40817810400077421865,5599004387129866,+7 (916) 742-18-65,Карта,Мерчант,63791264468236296243,044525225,ПАО Сбербанк,17641373419851,,50125d32474a4122b5b4b7e8,"{""epk_id"":null,""user_id"":null,""fio"":""Иванова Мария Игоревна"",""inn"":null,""payee_phone_number"":""+7 925 331-19-82"",""brand_name"":""Университет Синергия"",""legal_name_of_service_provider"":""ООО Университет Синергия"",""full_name_org"":""ООО Университет Синергия"",""recipient_bank_name"":""ПАО Сбербанк"",""transaction_beneficiar_nick_name"":""Образование""}","{""card_type"":""DC"",""card_linked_account"":""40817810400077421865"",""momentum_flg"":""false"",""virt_flg"":""false"",""payment_system"":""Sberbank""}","{""trusted_device"":true,""trusted_payee"":false,""device_age_days"":45}",043478356027,Университет Синергия,"{""merchant_group"":""education"",""atm_mcc"":""8299"",""atm_mcc_name"":""Educational Services""}","{""pos_type"":""ECOM"",""response_code"":""05""}","{""recipient_from_address_book"":""НЕТ"",""export_user_payee_days_since_first_hit"":""133""}","{""phone_brand"":""Samsung Galaxy S23"",""name_os"":""Android"",""app_version"":""16.13.0""}","{""phone_reciver_ScoreMTS_se_2024"":""0.403330""}",Black List,rule,deny,2026-01-24 08:02:00,deny,2026-01-24 08:07:00,418,Покупка/Оплата услуг,Карты,Карта,Образовательные услуги,True,True,True,Сработка требует проверки,"['PURCHASE|--|OLD|0_1p|+|12_24h|SC|CARDS|main_reason', 'P2P|--|OLD|15_20p|-|24_48h|--|DBO|--']","['p2p_deposit_sbp|--|--|--|48_96h', 'atm_deposit_cash|--|--|--|12_24h']","{""demo_client_trace"":true,""day_n"":""2026-01-24"",""has_180d_history"":true}","{""visit_event_dt"":null,""visit_event_id"":null,""db_visit_dttm"":null}","{""hit_cnt_per_client_72h"":1,""operations_cnt_180d"":100,""days_with_hits_180d"":8}",28944421,20260124,20260124
1,2026-01-24 14:42:24,9c85121b-1819-426e-8db4-28a7f413d5d7,81308.56,81308.56,182485.19,RUB,CARDS,ISSUER,PURCHASE,PURCHASE,CARD_PURCHASE,Оплата обучения,,deny,"{""rule_name"":""DENY нетипичная сумма оплаты курсов"",""rule_id"":""557446b8-fe59-49b8-b56b-a05236e31b3c"",""rule_category"":""Amount Anomaly"",""description"":""Синтетическая сработка по операции: Оплата обучения""}",2099007770421995000001,7770421995,Никитин Сергей Алексеевич,МВС,33,30-35 лет,+7 912 550-14-36,МТС,77,4525880142,21,772845913257,5599004387129958,40817810400077550143,40817810400077550143,40817810400077550143,5599004387129958,+7 (912) 550-14-36,Карта,Мерчант,63563833980301602999,044525823,Газпромбанк,21193420010998,,64b2d3589c4f47798e64d11e,"{""epk_id"":null,""user_id"":null,""fio"":""Смирнов Павел Максимович"",""inn"":null,""payee_phone_number"":""+7 916 114-22-75"",""brand_name"":""Университет Синергия"",""legal_name_of_service_provider"":""ООО Университет Синергия"",""full_name_org"":""ООО Университет Синергия"",""recipient_bank_name"":""Газпромбанк"",""transaction_beneficiar_nick_name"":""Куратор""}","{""card_type"":""DC"",""card_linked_account"":""40817810400077550143"",""momentum_flg"":""false"",""virt_flg"":""false"",""payment_system"":""Sberbank""}","{""trusted_device"":true,""trusted_payee"":false,""device_age_days"":170}",457220822399,Университет Синергия,"{""merchant_group"":""education"",""atm_mcc"":""8299"",""atm_mcc_name"":""Educational Services""}","{""pos_type"":""ECOM"",""response_code"":""00""}","{""recipient_from_address_book"":""НЕТ"",""export_user_payee_days_since_first_hit"":""186""}","{""phone_brand"":""Samsung Galaxy S23"",""name_os"":""Android"",""app_version"":""16.13.0""}","{""phone_reciver_ScoreMTS_se_2024"":""0.678002""}",Black List,rule,deny,2026-01-24 14:44:24,allow,2026-01-24 14:49:24,317,Покупка/Оплата услуг,Карты,Карта,Образовательные услуги,True,False,False,Операция подтверждена клиентом,"['PURCHASE|--|OLD|0_1p|+|12_24h|SC|CARDS|main_reason', 'P2P|--|OLD|15_20p|-|24_48h|--|DBO|--']","['p2p_deposit_sbp|--|--|--|48_96h', 'atm_deposit_cash|--|--|--|12_24h']","{""demo_client_trace"":true,""day_n"":""2026-01-24"",""has_180d_history"":true}","{""visit_event_dt"":null,""visit_event_id"":null,""db_visit_dttm"":null}","{""hit_cnt_per_client_72h"":1,""operations_cnt_180d"":100,""days_with_hits_180d"":15}",04751339,20260124,20260124
2,2026-01-24 17:39:03,3486d84b-4eba-4ba4-b044-94764fc9e7a4,34199.48,34199.48,76448.28,RUB,MOBILE,UFS.MOBILEAPI,PAYMENT,EDUCATION,EDUCATION_PAYMENT,Оплата экзамена,,deny,"{""rule_name"":""DENY оплата обучения после смены устройства"",""rule_id"":""86e19412-96bc-4633-a104-6aee60286a43"",""rule_category"":""Device Anomaly"",""description"":""Синтетическая сработка по операции: Оплата экзамена""}",2099007770421989000001,7770421989,Петрова Марина Олеговна,МВС,48,45-50 лет,+7 977 771-09-13,МТС,77,4517763205,21,772845913251,5599004387129897,40817810400077771091,40817810400077771091,40817810400077771091,5599004387129897,+7 (977) 771-09-13,Счет,Счет,52416883168499797871,044525974,Т-Банк,83870218227277,,a347ab0a06804a3988b7a062,"{""epk_id"":null,""user_id"":null,""fio"":""Петров Денис Алексеевич"",""inn"":null,""payee_phone_number"":""+7 903 742-88-10"",""brand_name"":""Центр тестирования"",""legal_name_of_service_provider"":""ООО Центр тестирования"",""full_name_org"":""ООО Центр тестирования"",""recipient_bank_name"":""Т-Банк"",""transaction_beneficiar_nick_name"":""Репетитор""}","{""card_type"":""DC"",""card_linked_account"":""40817810400077771091"",""momentum_flg"":""false"",""virt_flg"":""false"",""payment_system"":""Sberbank""}","{""trusted_device"":true,""trusted_payee"":false,""device_age_days"":211}",,,,,"{""recipient_from_address_book"":""НЕТ"",""export_user_payee_days_since_first_hit"":""62""}","{""phone_brand"":""Samsung Galaxy S23"",""name_os"":""Android"",""app_version"":""16.13.0""}","{""phone_reciver_ScoreMTS_se_2024"":""0.479223""}",Black List,rule,deny,2026-01-24 17:41:03,allow,2026-01-24 17:46:03,210,Покупка/Оплата услуг,ДБО,СБОЛ МП,Образовательные услуги,True,False,False,Операция подтверждена клиентом,"['PURCHASE|--|OLD|0_1p|+|12_24h|SC|CARDS|main_reason', 'P2P|--|OLD|15_20p|-|24_48h|--|DBO|--']","['p2p_deposit_sbp|--|--|--|48_96h', 'atm_deposit_cash|--|--|--|12_24h']","{""demo_client_trace"":true,""day_n"":""2026-01-24"",""has_180d_history"":true}","{""visit_event_dt"":null,""visit_event_id"":null,""db_visit_dttm"":null}","{""hit_cnt_per_client_72h"":1,""operations_cnt_180d"":100,""days_with_hits_180d"":8}",22832545,20260124,20260124
3,2026-01-25 08:36:10,ab807c18-6bad-4447-a203-0bd9c74d38ee,16490.55,16490.55,43666.75,RUB,CARDS,ISSUER,PURCHASE,PURCHASE,CARD_PURCHASE,Оплата учебных материалов,,deny,"{""rule_name"":""DENY новый образовательный получатель и высокий риск устройства"",""rule_id"":""702a2eac-52c0-4f8f-957d-c7550d09d274"",""rule_category"":""New Payee"",""description"":""Синтетическая сработка по операции: Оплата учебных материалов""}",2099007770421987000001,7770421987,Иванова Елена Павловна,МВС,35,35-40 лет,+7 925 104-22-91,МТС,77,4520113377,21,772845913249,5599004387129873,40817810400077104921,40817810400077104921,40817810400077104921,5599004387129873,+7 (925) 104-22-91,Карта,Мерчант,14527865937905558242,044525187,ВТБ,73426977601324,,8de4eda3da7e40e2810948f3,"{""epk_id"":null,""user_id"":null,""fio"":""Петров Денис Алексеевич"",""inn"":null,""payee_phone_number"":""+7 903 742-88-10"",""brand_name"":""ЛитРес Образование"",""legal_name_of_service_provider"":""ООО ЛитРес Образование"",""full_name_org"":""ООО ЛитРес Образование"",""recipient_bank_name"":""ВТБ"",""transaction_beneficiar_nick_name"":""Репетитор""}","{""card_type"":""DC"",""card_linked_account"":""40817810400077104921"",""momentum_flg"":""false"",""virt_flg"":""false"",""payment_system"":""Sberbank""}","{""trusted_device"":true,""trusted_payee"":false,""device_age_days"":18}",613572347708,ЛитРес Образование,"{""merchant_group"":""education"",""atm_mcc"":""5942"",""atm_mcc_name"":""Book Stores""}","{""pos_type"":""ECOM"",""response_code"":""05""}","{""recipient_from_address_book"":""НЕТ"",""export_user_payee_days_since_first_hit"":""62""}","{""phone_brand"":""Samsung Galaxy S23"",""name_os"":""Android"",""app_version"":""16.13.0""}","{""phone_reciver_ScoreMTS_se_2024"":""0.259341""}",Black List,rule,deny,2026-01-25 08:38:10,deny,2026-01-25 08:43:10,244,Покупка/Оплата услуг,Карты,Карта,Образовательные услуги,True,False,True,Сработка требует проверки,"['PURCHASE|--|OLD|0_1p|+|12_24h|SC|CARDS|main_reason', 'P2P|--|OLD|15_20p|-|24_48h|--|DBO|--']","['p2p_deposit_sbp|--|--|--|48_96h', 'atm_deposit_cash|--|--|--|12_24h']","{""demo_client_trace"":true,""day_n"":""2026-01-25"",""has_180d_history"":true}","{""visit_event_dt"":null,""visit_event_id"":null,""db_visit_dttm"":null}","{""hit_cnt_per_client_72h"":1,""operations_cnt_180d"":100,""days_with_hits_180d"":8}",11907233,20260125,20260125
4,2026-01-25 17:15:13,a32e6abd-5d64-48b1-a834-6a35324c3070,190887.76,190887.76,257602.97,RUB,MOBILE,UFS.MOBILEAPI,PAYMENT,EDUCATION,EDUCATION_PAYMENT,Оплата образовательной платформы,,deny,"{""rule_name"":""DENY оплата обучения после смены устройства"",""rule_id"":""5d62aa4e-acbd-4580-be98-d2a2a90092fe"",""rule_category"":""Device Anomaly"",""description"":""Синтетическая сработка по операции: Оплата образовательной платформы""}",2099007770421990000001,7770421990,Соколова Анна Дмитриевна,МВС,31,30-35 лет,+7 916 218-77-64,МТС,77,4522851740,21,772845913252,5599004387129903,40817810400077218776,40817810400077218776,40817810400077218776,5599004387129903,+7 (916) 218-77-64,Счет,Счет,74863786030818349857,044525225,ПАО Сбербанк,37455178553071,,cd319ae8b2fe4a7c908420ee,"{""epk_id"":null,""user_id"":null,""fio"":""Смирнов Павел Максимович"",""inn"":null,""payee_phone_number"":""+7 916 114-22-75"",""brand_name"":""Skillbox"",""legal_name_of_service_provider"":""ООО Skillbox"",""full_name_org"":""ООО Skillbox"",""recipient_bank_name"":""ПАО Сбербанк"",""transaction_beneficiar_nick_name"":""Куратор""}","{""card_type"":""DC"",""card_linked_account"":""40817810400077218776"",""momentum_flg"":""false"",""virt_flg"":""false"",""payment_system"":""Sberbank""}","{""trusted_device"":true,""trusted_payee"":false,""device_age_days"":37}",,,,,"{""recipient_from_address_book"":""НЕТ"",""export_user_payee_days_since_first_hit"":""41""}","{""phone_brand"":""Samsung Galaxy S23"",""name_os"":""Android"",""app_version"":""16.13.0""}","{""phone_reciver_ScoreMTS_se_2024"":""0.791428""}",Black List,rule,deny,2026-01-25 17:17:13,allow,2026-01-25 17:22:13,329,Покупка/Оплата услуг,ДБО,СБОЛ МП,Образовательные услуги,True,False,False,Операция подтверждена клиентом,"['PURCHASE|--|OLD|0_1p|+|12_24h|SC|CARDS|main_reason', 'P2P|--|OLD|15_20p|-|24_48h|--|DBO|--']","['p2p_deposit_sbp|--|--|--|48_96h', 'atm_deposit_cash|--|--|--|12_24h']","{""demo_client_trace"":true,""day_n"":""2026-01-25"",""has_180d_history"":true}","{""visit_event_dt"":null,""visit_event_id"":null,""db_visit_dttm"":null}","{""hit_cnt_per_client_72h"":1,""operations_cnt_180d"":100,""days_with_hits_180d"":8}",92788649,20260125,20260125
5,2026-01-25 17:39:31,82b27fef-8a41-4343-add0-30d45cd840e5,44379.05,44379.05,110293.47,RUB,MOBILE,UFS.MOBILEAPI,PAYMENT,EDUCATION,EDUCATION_PAYMENT,Оплата образовательной платформы,,deny,"{""rule_name"":""CARD_DENY крупная покупка образовательных услуг после cash-in"",""rule_id"":""b1a47e93-1f7b-40bc-bd40-5612c514bb2f"",""rule_category"":""Behavior Anomaly"",""description"":""Синтетическая сработка по операции: Оплата образовательной платформы""}",2099007770421993000001,7770421993,Орлов Павел Максимович,МВС,26,25-30 лет,+7 901 882-31-49,МТС,77,4524672831,21,772845913255,5599004387129934,40817810400077882314,40817810400077882314,40817810400077882314,5599004387129934,+7 (901) 882-31-49,Счет,Счет,07971528524246666869,044525974,Т-Банк,51194572440030,,7053d3210a6c4654994cdedb,"{""epk_id"":null,""user_id"":null,""fio"":""Смирнов Павел Максимович"",""inn"":null,""payee_phone_number"":""+7 916 114-22-75"",""brand_name"":""Skillbox"",""legal_name_of_service_provider"":""ООО Skillbox"",""full_name_org"":""ООО Skillbox"",""recipient_bank_name"":""Т-Банк"",""transaction_beneficiar_nick_name"":""Куратор""}","{""card_type"":""DC"",""card_linked_account"":""40817810400077882314"",""momentum_flg"":""false"",""virt_flg"":""false"",""payment_system"":""Sberbank""}","{""trusted_device"":true,""trusted_payee"":false,""device_age_days"":47}",,,,,"{""recipient_from_address_book"":""НЕТ"",""export_user_payee_days_since_first_hit"":""52""}","{""phone_brand"":""Samsung Galaxy S23"",""name_os"":""Android"",""app_version"":""16.13.0""}","{""phone_reciver_ScoreMTS_se_2024"":""0.521792""}",Black List,rule,deny,2026-01-25 17:41:31,allow,2026-01-25 17:46:31,278,Покупка/Оплата услуг,ДБО,СБОЛ МП,Образовательные услуги,True,False,False,Операция подтверждена клиентом,"['PURCHASE|--|OLD|0_1p|+|12_24h|SC|CARDS|main_reason', 'P2P|--|OLD|15_20p|-|24_48h|--|DBO|--']","['p2p_deposit_sbp|--|--|--|48_96h', 'atm_deposit_cash|--|--|--|12_24h']","{""demo_client_trace"":true,""day_n"":""2026-01-25"",""has_180d_history"":true}","{""visit_event_dt"":null,""visit_event_id"":null,""db_visit_dttm"":null}","{""hit_cnt_per_client_72h"":1,""operations_cnt_180d"":100,""days_with_hits_180d"":15}",35053730,20260125,20260125
6,2026-01-26 08:12:20,65a11261-e877-4234-85c9-96e4462a8de1,38269.91,38269.91,69090.52,RUB,CARDS,ISSUER,PURCHASE,PURCHASE,CARD_PURCHASE,Оплата занятий с репетитором,,deny,"{""rule_name"":""DENY новый образовательный получатель и высокий риск устройства"",""rule_id"":""0a001632-da7c-4101-8a71-9b75cf488be2"",""rule_category"":""New Payee"",""description"":""Синтетическая сработка по операции: Оплата занятий с репетитором""}",2099007770421988000001,7770421988,Смирнов Олег Викторович,МВС,29,25-30 лет,+7 903 512-44-08,МТС,77,4521445091,21,772845913250,5599004387129880,40817810400077512440,40817810400077512440,40817810400077512440,5599004387129880,+7 (903) 512-44-08,Карта,Мерчант,96748759282531610638,044525823,Газпромбанк,47119724090121,,76c0e77293fe433990438d62,"{""epk_id"":null,""user_id"":null,""fio"":""Смирнов Павел Максимович"",""inn"":null,""payee_phone_number"":""+7 916 114-22-75"",""brand_name"":""Профи Обучение"",""legal_name_of_service_provider"":""ООО Профи Обучение"",""full_name_org"":""ООО Профи Обучение"",""recipient_bank_name"":""Газпромбанк"",""transaction_beneficiar_nick_name"":""Куратор""}","{""card_type"":""DC"",""card_linked_account"":""40817810400077512440"",""momentum_flg"":""false"",""virt_flg"":""false"",""payment_system"":""Sberbank""}","{""trusted_device"":true,""trusted_payee"":false,""device_age_days"":37}",574124606085,Профи Обучение,"{""merchant_group"":""education"",""atm_mcc"":""8299"",""atm_mcc_name"":""Educational Services""}","{""pos_type"":""ECOM"",""response_code"":""05""}","{""recipient_from_address_book"":""НЕТ"",""export_user_payee_days_since_first_hit"":""154""}","{""phone_brand"":""Samsung Galaxy S23"",""name_os"":""Android"",""app_version"":""16.13.0""}","{""phone_reciver_ScoreMTS_se_2024"":""0.448842""}",Black List,rule,deny,2026-01-26 08:14:20,deny,2026-01-26 08:19:20,243,Покупка/Оплата услуг,Карты,Карта,Образовательные услуги,True,False,True,Сработка требует проверки,"['PURCHASE|--|OLD|0_1p|+|12_24h|SC|CARDS|main_reason', 'P2P|--|OLD|15_20p|-|24_48h|--|DBO|--']","['p2p_deposit_sbp|--|--|--|48_96h', 'atm_deposit_cash|--|--|--|12_24h']","{""demo_client_trace"":true,""day_n"":""2026-01-26"",""has_180d_history"":true}","{""visit_event_dt"":null,""visit_event_id"":null,""db_visit_dttm"":null}","{""hit_cnt_per_client_72h"":1,""operations_cnt_180d"":100,""days_with_hits_180d"":8}",59732169,20260126,20260126
7,2026-01-26 17:15:41,aa5a2d18-6c69-478e-a598-395f3f7a0160,72086.23,72086.23,245644.77,RUB,MOBILE,UFS.MOBILEAPI,PAYMENT,EDUCATION,EDUCATION_PAYMENT,Оплата онлайн-курсов,,deny,"{""rule_name"":""CARD_DENY крупная покупка образовательных услуг после cash-in"",""rule_id"":""8df2fd58-d464-48ea-aa48-c4e805d253e2"",""rule_category"":""Behavior Anomaly"",""description"":""Синтетическая сработка по операции: Оплата онлайн-курсов""}",2099007770421994000001,7770421994,Васильева Ольга Романовна,МВС,45,45-50 лет,+7 926 615-72-20,МТС,77,4517399016,21,772845913256,5599004387129941,40817810400077615722,40817810400077615722,40817810400077615722,5599004387129941,+7 (926) 615-72-20,Счет,Счет,46855069132623971614,044525225,ПАО Сбербанк,88218839880747,,5b19cdc1bba9423680cda156,"{""epk_id"":null,""user_id"":null,""fio"":""Соколова Анна Дмитриевна"",""inn"":null,""payee_phone_number"":""+7 977 541-04-19"",""brand_name"":""Яндекс Практикум"",""legal_name_of_service_provider"":""ООО Яндекс Практикум"",""full_name_org"":""ООО Яндекс Практикум"",""recipient_bank_name"":""ПАО Сбербанк"",""transaction_beneficiar_nick_name"":""Методист""}","{""card_type"":""DC"",""card_linked_account"":""40817810400077615722"",""momentum_flg"":""false"",""virt_flg"":""false"",""payment_system"":""Sberbank""}","{""trusted_device"":true,""trusted_payee"":false,""device_age_days"":10}",,,,,"{""recipient_from_address_book"":""НЕТ"",""export_user_payee_days_since_first_hit"":""211""}","{""phone_brand"":""Samsung Galaxy S23"",""name_os"":""Android"",""app_version"":""16.13.0""}","{""phone_reciver_ScoreMTS_se_2024"":""0.455253""}",Black List,rule,deny,2026-01-26 17:17:41,allow,2026-01-26 17:22:41,295,Покупка/Оплата услуг,ДБО,СБОЛ МП,Образовательные услуги,True,False,False,Операция подтверждена клиентом,"['PURCHASE|--|OLD|0_1p|+|12_24h|SC|CARDS|main_reason', 'P2P|--|OLD|15_20p|-|24_48h|--|DBO|--']","['p2p_deposit_sbp|--|--|--|48_96h', 'atm_deposit_cash|--|--|--|12_24h']","{""demo_client_trace"":true,""day_n"":""2026-01-26"",""has_180d_history"":true}","{""visit_event_dt"":null,""visit_event_id"":null,""db_visit_dttm"":null}","{""hit_cnt_per_client_72h"":1,""operations_cnt_180d"":100,""days_with_hits_180d"":15}",21877457,20260126,20260126
8,2026-01-27 08:36:06,ce435539-2e92-4d28-9cc0-f2717d9e118d,174650.20,174650.20,228857.44,RUB,CARDS,ISSUER,PURCHASE,PURCHASE,CARD_PURCHASE,Оплата обучения,,deny,"{""rule_name"":""CARD_DENY крупная покупка образовательных услуг после cash-in"",""rule_id"":""a0aaf9a8-3207-4dc9-81f5-9e03beb4dbe6"",""rule_category"":""Behavior Anomaly"",""description"":""Синтетическая сработка по операции: Оплата обучения""}",2099007770421995000001,7770421995,Никитин Сергей Алексеевич,МВС,33,30-35 лет,+7 912 550-14-36,МТС,77,4525880142,21,772845913257,5599004387129958,40817810400077550143,40817810400077550143,40817810400077550143,5599004387129958,+7 (912) 550-14-36,Карта,Мерчант,58473213576432065931,044525187,ВТБ,92913686321440,,d15cb77f93bd42c989865602,"{""epk_id"":null,""user_id"":null,""fio"":""Соколова Анна Дмитриевна"",""inn"":null,""payee_phone_number"":""+7 977 541-04-19"",""brand_name"":""Университет Синергия"",""legal_name_of_service_provider"":""ООО Университет Синергия"",""full_name_org"":""ООО Университет Синергия"",""recipient_bank_name"":""ВТБ"",""transaction_beneficiar_nick_name"":""Методист""}","{""card_type"":""DC"",""card_linked_account"":""40817810400077550143"",""momentum_flg"":""false"",""virt_flg"":""false"",""payment_system"":""Sberbank""}","{""trusted_device"":true,""trusted_payee"":false,""device_age_days"":28}",718818805001,Университет Синергия,"{""merchant_group"":""education"",""atm_mcc"":""8299"",""atm_mcc_name"":""Educational Services""}","{""pos_type"":""ECOM"",""response_code"":""05""}","{""recipient_from_address_book"":""НЕТ"",""export_user_payee_days_since_first_hit"":""27""}","{""phone_brand"":""Samsung Galaxy S23"",""name_os"":""Android"",""app_version"":""16.13.0""}","{""phone_reciver_ScoreMTS_se_2024"":""0.461750""}",Black List,rule,deny,2026-01-27 08:38:06,deny,2026-01-27 08:43:06,400,Покупка/Оплата услуг,Карты,Карта,Образовательные услуги,True,False,True,Сработка требует проверки,"['PURCHASE|--|OLD|0_1p|+|12_24h|SC|CARDS|main_reason', 'P2P|--|OLD|15_20p|-|24_48h|--|DBO|--']","['hit|SB|SP|0_1p|0_1h', 'atm_deposit_cash|--|--|--|12_24h']","{""demo_client_trace"":true,""day_n"":""2026-01-27"",""has_180d_history"":true}","{""visit_event_dt"":null,""visit_event_id"":null,""db_visit_dttm"":null}","{""hit_cnt_per_client_72h"":2,""operations_cnt_180d"":100,""days_with_hits_180d"":15}",63597680,20260127,20260127
9,2026-01-28 11:33:13,8c98960e-9b7b-4241-8c24-8eef4d1a21fd,203752.15,203752.15,357760.66,RUB,MOBILE,UFS.MOBILEAPI,PAYMENT,EDUCATION,EDUCATION_PAYMENT,Оплата образовательной платформы,,deny,"{""rule_name"":""DENY оплата обучения после смены устройства"",""rule_id"":""008ccce2-633a-46d7-9402-a543ef0b2de8"",""rule_category"":""Device Anomaly"",""description"":""Синтетическая сработка по операции: Оплата образовательной платформы""}",2099007770421993000001,7770421993,Орлов Павел Максимович,МВС,26,25-30 лет,+7 901 882-31-49,МТС,77,4524672831,21,772845913255,5599004387129934,40817810400077882314,40817810400077882314,40817810400077882314,5599004387129934,+7 (901) 882-31-49,Счет,Счет,48035013895536983055,044525593,Альфа-Банк,02950121581652,,7028c9f8eb814ce3808a2564,"{""epk_id"":null,""user_id"":null,""fio"":""Соколова Анна Дмитриевна"",""inn"":null,""payee_phone_number"":""+7 977 541-04-19"",""brand_name"":""Skillbox"",""legal_name_of_service_provider"":""ООО Skillbox"",""full_name_org"":""ООО Skillbox"",""recipient_bank_name"":""Альфа-Банк"",""transaction_beneficiar_nick_name"":""Методист""}","{""card_type"":""DC"",""card_linked_account"":""40817810400077882314"",""momentum_flg"":""false"",""virt_flg"":""false"",""payment_system"":""Sberbank""}","{""trusted_device"":true,""trusted_payee"":false,""device_age_days"":147}",,,,,"{""recipient_from_address_book"":""НЕТ"",""export_user_payee_days_since_first_hit"":""95""}","{""phone_brand"":""Samsung Galaxy S23"",""name_os"":""Android"",""app_version"":""16.13.0""}","{""phone_reciver_ScoreMTS_se_2024"":""0.486222""}",Black List,rule,deny,2026-01-28 11:35:13,allow,2026-01-28 11:40:13,189,Покупка/Оплата услуг,ДБО,СБОЛ МП,Образовательные услуги,True,False,False,Операция подтверждена клиентом,"['PURCHASE|--|OLD|0_1p|+|12_24h|SC|CARDS|main_reason', 'P2P|--|OLD|15_20p|-|24_48h|--|DBO|--']","['hit|SB|SP|0_1p|0_1h', 'atm_deposit_cash|--|--|--|12_24h']","{""demo_client_trace"":true,""day_n"":""2026-01-28"",""has_180d_history"":true}","{""visit_event_dt"":null,""visit_event_id"":null,""db_visit_dttm"":null}","{""hit_cnt_per_client_72h"":2,""operations_cnt_180d"":100,""days_with_hits_180d"":15}",86454216,20260128,20260128
